Id,Predicted
0,6
1,9
2,3
3,1
4,6
5,5
6,8
7,4
8,0
9,5
10,2
11,4
12,5
13,0
14,8
15,8
16,4
17,6
18,4
19,0
20,8
21,7
22,4
23,1
24,2
25,5
26,6
27,4
28,1
29,9
30,6
31,1
32,1
33,8
34,9
35,0
36,4
37,0
38,5
39,1
40,0
41,2
42,5
43,3
44,6
45,3
46,9
47,7
48,0
49,7
50,2
51,0
52,6
53,0
54,1
55,5
56,9
57,8
58,7
59,2
60,3
61,7
62,3
63,6
64,5
65,1
66,9
67,1
68,1
69,2
70,2
71,2
72,9
73,2
74,4
75,9
76,8
77,4
78,6
79,8
80,3
81,5
82,5
83,8
84,1
85,7
86,3
87,4
88,1
89,3
90,4
91,2
92,4
93,6
94,0
95,2
96,7
97,4
98,1
99,4
100,0
101,4
102,7
103,5
104,2
105,2
106,8
107,1
108,2
109,1
110,3
111,1
112,2
113,1
114,8
115,1
116,5
117,9
118,4
119,6
120,4
121,0
122,8
123,6
124,4
125,3
126,8
127,0
128,1
129,8
130,7
131,2
132,3
133,5
134,0
135,8
136,3
137,0
138,1
139,3
140,2
141,8
142,1
143,4
144,3
145,3
146,9
147,6
148,8
149,1
150,9
151,6
152,3
153,6
154,7
155,6
156,1
157,7
158,0
159,5
160,5
161,4
162,8
163,8
164,9
165,2
166,2
167,0
168,1
169,1
170,2
171,1
172,4
173,0
174,2
175,8
176,2
177,2
178,8
179,5
180,9
181,0
182,0
183,7
184,4
185,6
186,8
187,4
188,4
189,2
190,7
191,9
192,6
193,4
194,6
195,6
196,9
197,7
198,9
199,9
200,6
201,5
202,4
203,3
204,5
205,4
206,2
207,2
208,7
209,5
210,2
211,3
212,8
213,2
214,6
215,3
216,8
217,1
218,7
219,7
220,3
221,7
222,4
223,5
224,4
225,4
226,1
227,8
228,3
229,6
230,6
231,5
232,3
233,3
234,3
235,5
236,4
237,4
238,9
239,6
240,8
241,2
242,3
243,9
244,0
245,9
246,6
247,1
248,2
249,5
250,4
251,9
252,9
253,9
254,9
255,1
256,5
257,4
258,7
259,8
260,5
261,3
262,4
263,0
264,7
265,4
266,2
267,5
268,6
269,7
270,7
271,0
272,6
273,3
274,4
275,2
276,1
277,5
278,5
279,3
280,4
281,1
282,0
283,2
284,8
285,1
286,2
287,3
288,4
289,2
290,0
291,2
292,7
293,8
294,2
295,0
296,2
297,1
298,4
299,8
300,5
301,5
302,4
303,0
304,0
305,9
306,8
307,8
308,0
309,2
310,3
311,8
312,0
313,1
314,6
315,5
316,2
317,0
318,8
319,2
320,5
321,2
322,6
323,2
324,2
325,4
326,3
327,1
328,3
329,4
330,1
331,7
332,8
333,5
334,4
335,3
336,0
337,8
338,3
339,3
340,6
341,3
342,2
343,5
344,6
345,9
346,0
347,3
348,2
349,6
350,0
351,2
352,0
353,8
354,1
355,7
356,7
357,4
358,4
359,3
360,4
361,5
362,6
363,1
364,6
365,8
366,5
367,1
368,4
369,4
370,5
371,1
372,3
373,2
374,4
375,4
376,0
377,0
378,2
379,7
380,8
381,8
382,0
383,5
384,0
385,5
386,9
387,4
388,8
389,9
390,3
391,4
392,6
393,8
394,5
395,5
396,5
397,0
398,9
399,1
400,5
401,4
402,9
403,4
404,2
405,1
406,7
407,1
408,1
409,1
410,4
411,4
412,3
413,3
414,0
415,4
416,5
417,4
418,6
419,1
420,9
421,8
422,6
423,2
424,9
425,9
426,6
427,1
428,4
429,6
430,8
431,2
432,3
433,6
434,6
435,7
436,3
437,0
438,8
439,6
440,5
441,5
442,2
443,4
444,5
445,2
446,9
447,8
448,0
449,0
450,4
451,9
452,7
453,4
454,1
455,2
456,4
457,9
458,8
459,8
460,2
461,3
462,9
463,4
464,2
465,9
466,8
467,6
468,0
469,4
470,6
471,1
472,9
473,6
474,0
475,0
476,9
477,7
478,5
479,6
480,2
481,3
482,2
483,4
484,6
485,9
486,0
487,9
488,1
489,3
490,9
491,6
492,5
493,9
494,1
495,9
496,6
497,1
498,7
499,8
